filepath,label
Datasets\siren\ambulance\sound_124_1.wav,1
Datasets\siren\ambulance\sound_125.wav,1
Datasets\siren\ambulance\sound_125_1.wav,1
Datasets\siren\ambulance\sound_126.wav,1
Datasets\siren\ambulance\sound_126_1.wav,1
Datasets\siren\ambulance\sound_127.wav,1
Datasets\siren\ambulance\sound_127_1.wav,1
Datasets\siren\ambulance\sound_128.wav,1
Datasets\siren\ambulance\sound_128_1.wav,1
Datasets\siren\ambulance\sound_129.wav,1
Datasets\siren\ambulance\sound_129_1.wav,1
Datasets\siren\ambulance\sound_12_1.wav,1
Datasets\siren\ambulance\sound_13.wav,1
Datasets\siren\ambulance\sound_130.wav,1
Datasets\siren\ambulance\sound_130_1.wav,1
Datasets\siren\ambulance\sound_131.wav,1
Datasets\siren\ambulance\sound_131_1.wav,1
Datasets\siren\ambulance\sound_132.wav,1
Datasets\siren\ambulance\sound_132_1.wav,1
Datasets\siren\ambulance\sound_133.wav,1
Datasets\siren\ambulance\sound_133_1.wav,1
Datasets\siren\ambulance\sound_134.wav,1
Datasets\siren\ambulance\sound_134_1.wav,1
Datasets\siren\ambulance\sound_135.wav,1
Datasets\siren\ambulance\sound_135_1.wav,1
Datasets\siren\ambulance\sound_136.wav,1
Datasets\siren\ambulance\sound_136_1.wav,1
Datasets\siren\ambulance\sound_137.wav,1
Datasets\siren\ambulance\sound_137_1.wav,1
Datasets\siren\ambulance\sound_138.wav,1
Datasets\siren\ambulance\sound_138_1.wav,1
Datasets\siren\ambulance\sound_139.wav,1
Datasets\siren\ambulance\sound_139_1.wav,1
Datasets\siren\ambulance\sound_13_1.wav,1
Datasets\siren\ambulance\sound_14.wav,1
Datasets\siren\ambulance\sound_140.wav,1
Datasets\siren\ambulance\sound_140_1.wav,1
Datasets\siren\ambulance\sound_141.wav,1
Datasets\siren\ambulance\sound_141_1.wav,1
Datasets\siren\ambulance\sound_142.wav,1
Datasets\siren\ambulance\sound_142_1.wav,1
Datasets\siren\ambulance\sound_143.wav,1
Datasets\siren\ambulance\sound_143_1.wav,1
Datasets\siren\ambulance\sound_144.wav,1
Datasets\siren\ambulance\sound_144_1.wav,1
Datasets\siren\ambulance\sound_145.wav,1
Datasets\siren\ambulance\sound_145_1.wav,1
Datasets\siren\ambulance\sound_146.wav,1
Datasets\siren\ambulance\sound_146_1.wav,1
Datasets\siren\ambulance\sound_147.wav,1
Datasets\siren\ambulance\sound_147_1.wav,1
Datasets\siren\ambulance\sound_148.wav,1
Datasets\siren\ambulance\sound_148_1.wav,1
Datasets\siren\ambulance\sound_149.wav,1
Datasets\siren\ambulance\sound_149_1.wav,1
Datasets\siren\ambulance\sound_14_1.wav,1
Datasets\siren\ambulance\sound_15.wav,1
Datasets\siren\ambulance\sound_150.wav,1
Datasets\siren\ambulance\sound_150_1.wav,1
Datasets\siren\ambulance\sound_151.wav,1
Datasets\siren\ambulance\sound_151_1.wav,1
Datasets\siren\ambulance\sound_152.wav,1
Datasets\siren\ambulance\sound_152_1.wav,1
Datasets\siren\ambulance\sound_153.wav,1
Datasets\siren\ambulance\sound_153_1.wav,1
Datasets\siren\ambulance\sound_154.wav,1
Datasets\siren\ambulance\sound_154_1.wav,1
Datasets\siren\ambulance\sound_155.wav,1
Datasets\siren\ambulance\sound_155_1.wav,1
Datasets\siren\ambulance\sound_156.wav,1
Datasets\siren\ambulance\sound_156_1.wav,1
Datasets\siren\ambulance\sound_157.wav,1
Datasets\siren\ambulance\sound_157_1.wav,1
Datasets\siren\ambulance\sound_158.wav,1
Datasets\siren\ambulance\sound_158_1.wav,1
Datasets\siren\ambulance\sound_159.wav,1
Datasets\siren\ambulance\sound_159_1.wav,1
Datasets\siren\ambulance\sound_15_1.wav,1
Datasets\siren\ambulance\sound_16.wav,1
Datasets\siren\ambulance\sound_160.wav,1
Datasets\siren\ambulance\sound_160_1.wav,1
Datasets\siren\ambulance\sound_161.wav,1
Datasets\siren\ambulance\sound_161_1.wav,1
Datasets\siren\ambulance\sound_162.wav,1
Datasets\siren\ambulance\sound_162_1.wav,1
Datasets\siren\ambulance\sound_163.wav,1
Datasets\siren\ambulance\sound_163_1.wav,1
Datasets\siren\ambulance\sound_164.wav,1
Datasets\siren\ambulance\sound_164_1.wav,1
Datasets\siren\ambulance\sound_165.wav,1
Datasets\siren\ambulance\sound_165_1.wav,1
Datasets\siren\ambulance\sound_166.wav,1
Datasets\siren\ambulance\sound_166_1.wav,1
Datasets\siren\ambulance\sound_167.wav,1
Datasets\siren\ambulance\sound_167_1.wav,1
Datasets\siren\ambulance\sound_168.wav,1
Datasets\siren\ambulance\sound_168_1.wav,1
Datasets\siren\ambulance\sound_169.wav,1
Datasets\siren\ambulance\sound_169_1.wav,1
Datasets\siren\ambulance\sound_16_1.wav,1
Datasets\siren\ambulance\sound_17.wav,1
Datasets\siren\ambulance\sound_170.wav,1
Datasets\siren\ambulance\sound_170_1.wav,1
Datasets\siren\ambulance\sound_171.wav,1
Datasets\siren\ambulance\sound_171_1.wav,1
Datasets\siren\ambulance\sound_172.wav,1
Datasets\siren\ambulance\sound_172_1.wav,1
Datasets\siren\ambulance\sound_173.wav,1
Datasets\siren\ambulance\sound_173_1.wav,1
Datasets\siren\ambulance\sound_174.wav,1
Datasets\siren\ambulance\sound_174_1.wav,1
Datasets\siren\ambulance\sound_175.wav,1
Datasets\siren\ambulance\sound_175_1.wav,1
Datasets\siren\ambulance\sound_176.wav,1
Datasets\siren\ambulance\sound_176_1.wav,1
Datasets\siren\ambulance\sound_177.wav,1
Datasets\siren\ambulance\sound_177_1.wav,1
Datasets\siren\ambulance\sound_178.wav,1
Datasets\siren\ambulance\sound_178_1.wav,1
Datasets\siren\ambulance\sound_179.wav,1
Datasets\siren\ambulance\sound_179_1.wav,1
Datasets\siren\ambulance\sound_17_1.wav,1
Datasets\siren\ambulance\sound_18.wav,1
Datasets\siren\ambulance\sound_180.wav,1
Datasets\siren\ambulance\sound_180_1.wav,1
Datasets\siren\ambulance\sound_181.wav,1
Datasets\siren\ambulance\sound_181_1.wav,1
Datasets\siren\ambulance\sound_182.wav,1
Datasets\siren\ambulance\sound_182_1.wav,1
Datasets\siren\ambulance\sound_183.wav,1
Datasets\siren\ambulance\sound_183_1.wav,1
Datasets\siren\ambulance\sound_184.wav,1
Datasets\siren\ambulance\sound_184_1.wav,1
Datasets\siren\ambulance\sound_185.wav,1
Datasets\siren\ambulance\sound_185_1.wav,1
Datasets\siren\ambulance\sound_186.wav,1
Datasets\siren\ambulance\sound_186_1.wav,1
Datasets\siren\ambulance\sound_187.wav,1
Datasets\siren\ambulance\sound_187_1.wav,1
Datasets\siren\ambulance\sound_188.wav,1
Datasets\siren\ambulance\sound_188_1.wav,1
Datasets\siren\ambulance\sound_189.wav,1
Datasets\siren\ambulance\sound_189_1.wav,1
Datasets\siren\ambulance\sound_18_1.wav,1
Datasets\siren\ambulance\sound_19.wav,1
Datasets\siren\ambulance\sound_190.wav,1
Datasets\siren\ambulance\sound_190_1.wav,1
Datasets\siren\ambulance\sound_191.wav,1
Datasets\siren\ambulance\sound_191_1.wav,1
Datasets\siren\ambulance\sound_192.wav,1
Datasets\siren\ambulance\sound_192_1.wav,1
Datasets\siren\ambulance\sound_193.wav,1
Datasets\siren\ambulance\sound_193_1.wav,1
Datasets\siren\ambulance\sound_194.wav,1
Datasets\siren\ambulance\sound_194_1.wav,1
Datasets\siren\ambulance\sound_195.wav,1
Datasets\siren\ambulance\sound_195_1.wav,1
Datasets\siren\ambulance\sound_196.wav,1
Datasets\siren\ambulance\sound_196_1.wav,1
Datasets\siren\ambulance\sound_197.wav,1
Datasets\siren\ambulance\sound_197_1.wav,1
Datasets\siren\ambulance\sound_198.wav,1
Datasets\siren\ambulance\sound_198_1.wav,1
Datasets\siren\ambulance\sound_199.wav,1
Datasets\siren\ambulance\sound_199_1.wav,1
Datasets\siren\ambulance\sound_19_1.wav,1
Datasets\siren\ambulance\sound_1_1.wav,1
Datasets\siren\ambulance\sound_2.wav,1
Datasets\siren\ambulance\sound_20.wav,1
Datasets\siren\ambulance\sound_200.wav,1
Datasets\siren\ambulance\sound_200_1.wav,1
Datasets\siren\ambulance\sound_20_1.wav,1
Datasets\siren\ambulance\sound_21.wav,1
Datasets\siren\ambulance\sound_21_1.wav,1
Datasets\siren\ambulance\sound_22.wav,1
Datasets\siren\ambulance\sound_22_1.wav,1
Datasets\siren\ambulance\sound_23.wav,1
Datasets\siren\ambulance\sound_23_1.wav,1
Datasets\siren\ambulance\sound_24.wav,1
Datasets\siren\ambulance\sound_24_1.wav,1
Datasets\siren\ambulance\sound_25.wav,1
Datasets\siren\ambulance\sound_25_1.wav,1
Datasets\siren\ambulance\sound_26.wav,1
Datasets\siren\ambulance\sound_26_1.wav,1
Datasets\siren\ambulance\sound_27.wav,1
Datasets\siren\ambulance\sound_27_1.wav,1
Datasets\siren\ambulance\sound_28.wav,1
Datasets\siren\ambulance\sound_28_1.wav,1
Datasets\siren\ambulance\sound_29.wav,1
Datasets\siren\ambulance\sound_29_1.wav,1
Datasets\siren\ambulance\sound_2_1.wav,1
Datasets\siren\ambulance\sound_3.wav,1
Datasets\siren\ambulance\sound_30.wav,1
Datasets\siren\ambulance\sound_30_1.wav,1
Datasets\siren\ambulance\sound_31.wav,1
Datasets\siren\ambulance\sound_31_1.wav,1
Datasets\siren\ambulance\sound_32.wav,1
Datasets\siren\ambulance\sound_32_1.wav,1
Datasets\siren\ambulance\sound_33.wav,1
Datasets\siren\ambulance\sound_33_1.wav,1
Datasets\siren\ambulance\sound_34.wav,1
Datasets\siren\ambulance\sound_34_1.wav,1
Datasets\siren\ambulance\sound_35.wav,1
Datasets\siren\ambulance\sound_35_1.wav,1
Datasets\siren\ambulance\sound_36.wav,1
Datasets\siren\ambulance\sound_36_1.wav,1
Datasets\siren\ambulance\sound_37.wav,1
Datasets\siren\ambulance\sound_37_1.wav,1
Datasets\siren\ambulance\sound_38.wav,1
Datasets\siren\ambulance\sound_38_1.wav,1
Datasets\siren\ambulance\sound_39.wav,1
Datasets\siren\ambulance\sound_39_1.wav,1
Datasets\siren\ambulance\sound_3_1.wav,1
Datasets\siren\ambulance\sound_4.wav,1
Datasets\siren\ambulance\sound_40.wav,1
Datasets\siren\ambulance\sound_40_1.wav,1
Datasets\siren\ambulance\sound_41.wav,1
Datasets\siren\ambulance\sound_41_1.wav,1
Datasets\siren\ambulance\sound_42.wav,1
Datasets\siren\ambulance\sound_42_1.wav,1
Datasets\siren\ambulance\sound_43.wav,1
Datasets\siren\ambulance\sound_43_1.wav,1
Datasets\siren\ambulance\sound_44.wav,1
Datasets\siren\ambulance\sound_44_1.wav,1
Datasets\siren\ambulance\sound_45.wav,1
Datasets\siren\ambulance\sound_45_1.wav,1
Datasets\siren\ambulance\sound_46.wav,1
Datasets\siren\ambulance\sound_46_1.wav,1
Datasets\siren\ambulance\sound_47.wav,1
Datasets\siren\ambulance\sound_47_1.wav,1
Datasets\siren\ambulance\sound_48.wav,1
Datasets\siren\ambulance\sound_48_1.wav,1
Datasets\siren\ambulance\sound_49.wav,1
Datasets\siren\ambulance\sound_49_1.wav,1
Datasets\siren\ambulance\sound_4_1.wav,1
Datasets\siren\ambulance\sound_5.wav,1
Datasets\siren\ambulance\sound_50.wav,1
Datasets\siren\ambulance\sound_50_1.wav,1
Datasets\siren\ambulance\sound_51.wav,1
Datasets\siren\ambulance\sound_51_1.wav,1
Datasets\siren\ambulance\sound_52.wav,1
Datasets\siren\ambulance\sound_52_1.wav,1
Datasets\siren\ambulance\sound_53.wav,1
Datasets\siren\ambulance\sound_53_1.wav,1
Datasets\siren\ambulance\sound_54.wav,1
Datasets\siren\ambulance\sound_54_1.wav,1
Datasets\siren\ambulance\sound_55.wav,1
Datasets\siren\ambulance\sound_55_1.wav,1
Datasets\siren\ambulance\sound_56.wav,1
Datasets\siren\ambulance\sound_56_1.wav,1
Datasets\siren\ambulance\sound_57.wav,1
Datasets\siren\ambulance\sound_57_1.wav,1
Datasets\siren\ambulance\sound_58.wav,1
Datasets\siren\ambulance\sound_58_1.wav,1
Datasets\siren\ambulance\sound_59.wav,1
Datasets\siren\ambulance\sound_59_1.wav,1
Datasets\siren\ambulance\sound_5_1.wav,1
Datasets\siren\ambulance\sound_6.wav,1
Datasets\siren\ambulance\sound_60.wav,1
Datasets\siren\ambulance\sound_60_1.wav,1
Datasets\siren\ambulance\sound_61.wav,1
Datasets\siren\ambulance\sound_61_1.wav,1
Datasets\siren\ambulance\sound_62.wav,1
Datasets\siren\ambulance\sound_62_1.wav,1
Datasets\siren\ambulance\sound_63.wav,1
Datasets\siren\ambulance\sound_63_1.wav,1
Datasets\siren\ambulance\sound_64.wav,1
Datasets\siren\ambulance\sound_64_1.wav,1
Datasets\siren\ambulance\sound_65.wav,1
Datasets\siren\ambulance\sound_65_1.wav,1
Datasets\siren\ambulance\sound_66.wav,1
Datasets\siren\ambulance\sound_66_1.wav,1
Datasets\siren\ambulance\sound_67.wav,1
Datasets\siren\ambulance\sound_67_1.wav,1
Datasets\siren\ambulance\sound_68.wav,1
Datasets\siren\ambulance\sound_68_1.wav,1
Datasets\siren\ambulance\sound_69.wav,1
Datasets\siren\ambulance\sound_69_1.wav,1
Datasets\siren\ambulance\sound_6_1.wav,1
Datasets\siren\ambulance\sound_7.wav,1
Datasets\siren\ambulance\sound_70.wav,1
Datasets\siren\ambulance\sound_70_1.wav,1
Datasets\siren\ambulance\sound_71.wav,1
Datasets\siren\ambulance\sound_71_1.wav,1
Datasets\siren\ambulance\sound_72.wav,1
Datasets\siren\ambulance\sound_72_1.wav,1
Datasets\siren\ambulance\sound_73.wav,1
Datasets\siren\ambulance\sound_73_1.wav,1
Datasets\siren\ambulance\sound_74.wav,1
Datasets\siren\ambulance\sound_74_1.wav,1
Datasets\siren\ambulance\sound_75.wav,1
Datasets\siren\ambulance\sound_75_1.wav,1
Datasets\siren\ambulance\sound_76.wav,1
Datasets\siren\ambulance\sound_76_1.wav,1
Datasets\siren\ambulance\sound_77.wav,1
Datasets\siren\ambulance\sound_77_1.wav,1
Datasets\siren\ambulance\sound_78.wav,1
Datasets\siren\ambulance\sound_78_1.wav,1
Datasets\siren\ambulance\sound_79.wav,1
Datasets\siren\ambulance\sound_79_1.wav,1
Datasets\siren\ambulance\sound_7_1.wav,1
Datasets\siren\ambulance\sound_8.wav,1
Datasets\siren\ambulance\sound_80.wav,1
Datasets\siren\ambulance\sound_80_1.wav,1
Datasets\siren\ambulance\sound_81.wav,1
Datasets\siren\ambulance\sound_81_1.wav,1
Datasets\siren\ambulance\sound_82.wav,1
Datasets\siren\ambulance\sound_82_1.wav,1
Datasets\siren\ambulance\sound_83.wav,1
Datasets\siren\ambulance\sound_83_1.wav,1
Datasets\siren\ambulance\sound_84.wav,1
Datasets\siren\ambulance\sound_84_1.wav,1
Datasets\siren\ambulance\sound_85.wav,1
Datasets\siren\ambulance\sound_85_1.wav,1
Datasets\siren\ambulance\sound_86.wav,1
Datasets\siren\ambulance\sound_86_1.wav,1
Datasets\siren\ambulance\sound_87.wav,1
Datasets\siren\ambulance\sound_87_1.wav,1
Datasets\siren\ambulance\sound_88.wav,1
Datasets\siren\ambulance\sound_88_1.wav,1
Datasets\siren\ambulance\sound_89.wav,1
Datasets\siren\ambulance\sound_89_1.wav,1
Datasets\siren\ambulance\sound_8_1.wav,1
Datasets\siren\ambulance\sound_9.wav,1
Datasets\siren\ambulance\sound_90.wav,1
Datasets\siren\ambulance\sound_90_1.wav,1
Datasets\siren\ambulance\sound_91.wav,1
Datasets\siren\ambulance\sound_91_1.wav,1
Datasets\siren\ambulance\sound_92.wav,1
Datasets\siren\ambulance\sound_92_1.wav,1
Datasets\siren\ambulance\sound_93.wav,1
Datasets\siren\ambulance\sound_93_1.wav,1
Datasets\siren\ambulance\sound_94.wav,1
Datasets\siren\ambulance\sound_94_1.wav,1
Datasets\siren\ambulance\sound_95.wav,1
Datasets\siren\ambulance\sound_95_1.wav,1
Datasets\siren\ambulance\sound_96.wav,1
Datasets\siren\ambulance\sound_96_1.wav,1
Datasets\siren\ambulance\sound_97.wav,1
Datasets\siren\ambulance\sound_97_1.wav,1
Datasets\siren\ambulance\sound_98.wav,1
Datasets\siren\ambulance\sound_98_1.wav,1
Datasets\siren\ambulance\sound_99.wav,1
Datasets\siren\ambulance\sound_99_1.wav,1
Datasets\siren\ambulance\sound_9_1.wav,1
Datasets\siren\firetruck\sound_201.wav,1
Datasets\siren\firetruck\sound_201_1.wav,1
Datasets\siren\firetruck\sound_202.wav,1
Datasets\siren\firetruck\sound_202_1.wav,1
Datasets\siren\firetruck\sound_203.wav,1
Datasets\siren\firetruck\sound_203_1.wav,1
Datasets\siren\firetruck\sound_204.wav,1
Datasets\siren\firetruck\sound_204_1.wav,1
Datasets\siren\firetruck\sound_205.wav,1
Datasets\siren\firetruck\sound_205_1.wav,1
Datasets\siren\firetruck\sound_206.wav,1
Datasets\siren\firetruck\sound_206_1.wav,1
Datasets\siren\firetruck\sound_207.wav,1
Datasets\siren\firetruck\sound_207_1.wav,1
Datasets\siren\firetruck\sound_208.wav,1
Datasets\siren\firetruck\sound_208_1.wav,1
Datasets\siren\firetruck\sound_209.wav,1
Datasets\siren\firetruck\sound_209_1.wav,1
Datasets\siren\firetruck\sound_210.wav,1
Datasets\siren\firetruck\sound_210_1.wav,1
Datasets\siren\firetruck\sound_211.wav,1
Datasets\siren\firetruck\sound_211_1.wav,1
Datasets\siren\firetruck\sound_212.wav,1
Datasets\siren\firetruck\sound_212_1.wav,1
Datasets\siren\firetruck\sound_213.wav,1
Datasets\siren\firetruck\sound_213_1.wav,1
Datasets\siren\firetruck\sound_214.wav,1
Datasets\siren\firetruck\sound_214_1.wav,1
Datasets\siren\firetruck\sound_215.wav,1
Datasets\siren\firetruck\sound_215_1.wav,1
Datasets\siren\firetruck\sound_216.wav,1
Datasets\siren\firetruck\sound_216_1.wav,1
Datasets\siren\firetruck\sound_217.wav,1
Datasets\siren\firetruck\sound_217_1.wav,1
Datasets\siren\firetruck\sound_218.wav,1
Datasets\siren\firetruck\sound_218_1.wav,1
Datasets\siren\firetruck\sound_219.wav,1
Datasets\siren\firetruck\sound_219_1.wav,1
Datasets\siren\firetruck\sound_220.wav,1
Datasets\siren\firetruck\sound_220_1.wav,1
Datasets\siren\firetruck\sound_221.wav,1
Datasets\siren\firetruck\sound_221_1.wav,1
Datasets\siren\firetruck\sound_222.wav,1
Datasets\siren\firetruck\sound_222_1.wav,1
Datasets\siren\firetruck\sound_223.wav,1
Datasets\siren\firetruck\sound_223_1.wav,1
Datasets\siren\firetruck\sound_224.wav,1
Datasets\siren\firetruck\sound_224_1.wav,1
Datasets\siren\firetruck\sound_225.wav,1
Datasets\siren\firetruck\sound_225_1.wav,1
Datasets\siren\firetruck\sound_226.wav,1
Datasets\siren\firetruck\sound_226_1.wav,1
Datasets\siren\firetruck\sound_227.wav,1
Datasets\siren\firetruck\sound_227_1.wav,1
Datasets\siren\firetruck\sound_228.wav,1
Datasets\siren\firetruck\sound_228_1.wav,1
Datasets\siren\firetruck\sound_229.wav,1
Datasets\siren\firetruck\sound_229_1.wav,1
Datasets\siren\firetruck\sound_230.wav,1
Datasets\siren\firetruck\sound_230_1.wav,1
Datasets\siren\firetruck\sound_231.wav,1
Datasets\siren\firetruck\sound_231_1.wav,1
Datasets\siren\firetruck\sound_232.wav,1
Datasets\siren\firetruck\sound_232_1.wav,1
Datasets\siren\firetruck\sound_233.wav,1
Datasets\siren\firetruck\sound_233_1.wav,1
Datasets\siren\firetruck\sound_234.wav,1
Datasets\siren\firetruck\sound_234_1.wav,1
Datasets\siren\firetruck\sound_235.wav,1
Datasets\siren\firetruck\sound_235_1.wav,1
Datasets\siren\firetruck\sound_236.wav,1
Datasets\siren\firetruck\sound_236_1.wav,1
Datasets\siren\firetruck\sound_237.wav,1
Datasets\siren\firetruck\sound_237_1.wav,1
Datasets\siren\firetruck\sound_238.wav,1
Datasets\siren\firetruck\sound_238_1.wav,1
Datasets\siren\firetruck\sound_239.wav,1
Datasets\siren\firetruck\sound_239_1.wav,1
Datasets\siren\firetruck\sound_240.wav,1
Datasets\siren\firetruck\sound_240_1.wav,1
Datasets\siren\firetruck\sound_241.wav,1
Datasets\siren\firetruck\sound_241_1.wav,1
Datasets\siren\firetruck\sound_242.wav,1
Datasets\siren\firetruck\sound_242_1.wav,1
Datasets\siren\firetruck\sound_243.wav,1
Datasets\siren\firetruck\sound_243_1.wav,1
Datasets\siren\firetruck\sound_244.wav,1
Datasets\siren\firetruck\sound_244_1.wav,1
Datasets\siren\firetruck\sound_245.wav,1
Datasets\siren\firetruck\sound_245_1.wav,1
Datasets\siren\firetruck\sound_246.wav,1
Datasets\siren\firetruck\sound_246_1.wav,1
Datasets\siren\firetruck\sound_247.wav,1
Datasets\siren\firetruck\sound_247_1.wav,1
Datasets\siren\firetruck\sound_248.wav,1
Datasets\siren\firetruck\sound_248_1.wav,1
Datasets\siren\firetruck\sound_249.wav,1
Datasets\siren\firetruck\sound_249_1.wav,1
Datasets\siren\firetruck\sound_250.wav,1
Datasets\siren\firetruck\sound_250_1.wav,1
Datasets\siren\firetruck\sound_251.wav,1
Datasets\siren\firetruck\sound_251_1.wav,1
Datasets\siren\firetruck\sound_252.wav,1
Datasets\siren\firetruck\sound_252_1.wav,1
Datasets\siren\firetruck\sound_253.wav,1
Datasets\siren\firetruck\sound_253_1.wav,1
Datasets\siren\firetruck\sound_254.wav,1
Datasets\siren\firetruck\sound_254_1.wav,1
Datasets\siren\firetruck\sound_255.wav,1
Datasets\siren\firetruck\sound_255_1.wav,1
Datasets\siren\firetruck\sound_256.wav,1
Datasets\siren\firetruck\sound_256_1.wav,1
Datasets\siren\firetruck\sound_257.wav,1
Datasets\siren\firetruck\sound_257_1.wav,1
Datasets\siren\firetruck\sound_258.wav,1
Datasets\siren\firetruck\sound_258_1.wav,1
Datasets\siren\firetruck\sound_259.wav,1
Datasets\siren\firetruck\sound_259_1.wav,1
Datasets\siren\firetruck\sound_260.wav,1
Datasets\siren\firetruck\sound_260_1.wav,1
Datasets\siren\firetruck\sound_261.wav,1
Datasets\siren\firetruck\sound_261_1.wav,1
Datasets\siren\firetruck\sound_262.wav,1
Datasets\siren\firetruck\sound_262_1.wav,1
Datasets\siren\firetruck\sound_263.wav,1
Datasets\siren\firetruck\sound_263_1.wav,1
Datasets\siren\firetruck\sound_264.wav,1
Datasets\siren\firetruck\sound_264_1.wav,1
Datasets\siren\firetruck\sound_265.wav,1
Datasets\siren\firetruck\sound_265_1.wav,1
Datasets\siren\firetruck\sound_266.wav,1
Datasets\siren\firetruck\sound_266_1.wav,1
Datasets\siren\firetruck\sound_267.wav,1
Datasets\siren\firetruck\sound_267_1.wav,1
Datasets\siren\firetruck\sound_268.wav,1
Datasets\siren\firetruck\sound_268_1.wav,1
Datasets\siren\firetruck\sound_269.wav,1
Datasets\siren\firetruck\sound_269_1.wav,1
Datasets\siren\firetruck\sound_270.wav,1
Datasets\siren\firetruck\sound_270_1.wav,1
Datasets\siren\firetruck\sound_271.wav,1
Datasets\siren\firetruck\sound_271_1.wav,1
Datasets\siren\firetruck\sound_272.wav,1
Datasets\siren\firetruck\sound_272_1.wav,1
Datasets\siren\firetruck\sound_273.wav,1
Datasets\siren\firetruck\sound_273_1.wav,1
Datasets\siren\firetruck\sound_274.wav,1
Datasets\siren\firetruck\sound_274_1.wav,1
Datasets\siren\firetruck\sound_275.wav,1
Datasets\siren\firetruck\sound_275_1.wav,1
Datasets\siren\firetruck\sound_276.wav,1
Datasets\siren\firetruck\sound_276_1.wav,1
Datasets\siren\firetruck\sound_277.wav,1
Datasets\siren\firetruck\sound_277_1.wav,1
Datasets\siren\firetruck\sound_278.wav,1
Datasets\siren\firetruck\sound_278_1.wav,1
Datasets\siren\firetruck\sound_279.wav,1
Datasets\siren\firetruck\sound_279_1.wav,1
Datasets\siren\firetruck\sound_280.wav,1
Datasets\siren\firetruck\sound_280_1.wav,1
Datasets\siren\firetruck\sound_281.wav,1
Datasets\siren\firetruck\sound_281_1.wav,1
Datasets\siren\firetruck\sound_282.wav,1
Datasets\siren\firetruck\sound_282_1.wav,1
Datasets\siren\firetruck\sound_283.wav,1
Datasets\siren\firetruck\sound_283_1.wav,1
Datasets\siren\firetruck\sound_284.wav,1
Datasets\siren\firetruck\sound_284_1.wav,1
Datasets\siren\firetruck\sound_285.wav,1
Datasets\siren\firetruck\sound_285_1.wav,1
Datasets\siren\firetruck\sound_286.wav,1
Datasets\siren\firetruck\sound_286_1.wav,1
Datasets\siren\firetruck\sound_287.wav,1
Datasets\siren\firetruck\sound_287_1.wav,1
Datasets\siren\firetruck\sound_288.wav,1
Datasets\siren\firetruck\sound_288_1.wav,1
Datasets\siren\firetruck\sound_289.wav,1
Datasets\siren\firetruck\sound_289_1.wav,1
Datasets\siren\firetruck\sound_290.wav,1
Datasets\siren\firetruck\sound_290_1.wav,1
Datasets\siren\firetruck\sound_291.wav,1
Datasets\siren\firetruck\sound_291_1.wav,1
